#Species,BioProject,Taxid,locus_tag,accession,chromosome,begin,end,strand,type,name,description
IPO1609,PRJNA32087,564066,RSIPO_04353,YP_002258045.1,CU914166,1667903,1668811,0,protein,ripE2,Type III effector protein RipE2
Psi07,PRJNA50543,859657,RPSI07_2017,CBJ51381.2,FP885906,2106733,2108796,0,protein,ripV1,"Type III effector protein RipV1, SspH1 family"
CFBP2957,PRJNA50545,859656,RCFBP_mp20113,CBJ53541.1,FP885907,813228,816383,0,protein,ripG2,Type III effector protein GALA2
Molk2,PRJNA180980,564065,RSMK_02817,CAQ36630.1,CAHW01000037,316355,317677,0,protein,ripAL,Type III effector protein RipAL
GMI1000,PRJNA57593,267608,RSc2101,CAD15808.2,AL646052,2275860,2276780,0,protein,ripAJ,Type III effector protein RipAJ
BDBR229,PRJNA53877,741978,BDB_100075,CCA80396.1,BDBR229_FR854066,80030,82888,0,protein,ripY,"Type III effector protein RipY, ankyrin repeats"
BDBR229,PRJNA53877,741978,BDB_80240,CCA79855.1,BDBR229_FR854064,242317,244347,0,protein,ripAR,Type III effector protein RipAR
CMR15,PRJEA50681,859655,CMR15_mp10825,CBJ40472.1,FP885896,964708,968556,0,protein,ripA3,Type III effector AWR3
CFBP2957,PRJNA50545,859656,RCFBP_11536,CBJ42830.1,FP885897,1572063,1579847,0,protein,ripS4,Type III effector protein SKWP4
RS1000,,305,BAD42387.1,BAD42387.1,AB177899,201,962,0,fragment,ripAU,"Type III effector protein (frameshifted, C-terminal part) (Rip68)"
UW551,PRJNA54307,342110,RRSL_03923,WP_003261971.1,AAKL01000006,109373,110281,0,protein,ripE2,Type III effector Protein RipE2
Psi07,PRJNA50543,859657,RPSI07_mp0038,CBJ34399.1,FP885891,42276,44048,0,protein,ripG3,leucine-rich-repeat type III effector protein (GALA3)
CFBP2957,PRJNA50545,859656,RCFBP_21172,CBJ44350.1,FP885897,3115880,3117820,0,protein,ripAE,Type III effector protein RipAE
Po82,PRJNA162133,1031711,RSPO_m01371,AEG72006.1,CP002820,1609186,1611981,0,protein,ripC1,Type III effector protein RipC1
GMI1000,PRJNA57593,267608,RSc0228,CAD13756.1,AL646052,250073,250351,0,pseudogene,ripBA_fragment2,"Type III effector protein RipBA, pseudogene (C-term fragment) AvrRpm1 family"
CMR15,PRJEA50681,859655,CMR15_mp20237,CBJ40811.1,FP885896,1371351,1372781,0,protein,ripN,"Type III effector RipN, NUDIX hydrolase domain"
RS1000,,305,BAH47285.1,BAH47285.1,AB302226,4063,8385,0,protein,ripAN,type III effector protein (Rip43)
BDBR229,PRJNA53877,741978,BDB_mp10115,CCA82509.1,BDBR229_FR854077,101763,103304,0,fragment,ripAT_fragment2,"Type III effector protein RipAT (frameshift, C-terminal fragment)"
CMR15,PRJEA50681,859655,CMR15_11806,CBJ38007.1,FP885895,1871998,1873617,0,protein,ripG5,Type III effector protein GALA5
Molk2,PRJNA180980,564065,RSMK_02996,CAQ36781.1,CAHW01000037,499107,499631,0,protein,ripAB,Type III effector protein RipAB (formerly PopB)
Molk2,PRJNA180980,564065,RSMK_03504,CAQ37178.1,CAHW01000037,1050038,1052674,0,protein,ripAS,Type III effector protein RipAS
CMR15,PRJEA50681,859655,CMR15_10642,CBJ36850.1,FP885895,683875,685020,0,protein,ripW,"Type III effector RipW [formerly PopW], Hairpin with pectate lyase domain"
RS1000,,305,BAH47288.1,BAH47288.1,AB302229,466,1947,0,protein,ripG1,type III effector protein GALA1 (Rip53)
CMR15,PRJEA50681,859655,CMR15_mp30042,CBJ41046.1,FP885896,1651845,1654484,0,protein,ripAS,Type III effector protein RipAS
IPO1609,PRJNA32087,564066,RSIPO_01339,YP_002259564.1,NW_002196569,1466219,1467507,0,fragment,ripM_fragment1,"Type III effector RipM (frameshift, N-terminal fragment)"
RS1000,,305,BAI67923.1,BAI67923.1,AB516337,1790,2302,0,protein,ripAI,type III effector protein (Rip41)
Molk2,PRJNA180980,564065,RSMK_04797,CAQ57182.1,CAHW01000040,951228,952757,0,protein,ripO1,Type III effector protein RipO1
Po82,PRJNA162133,1031711,RSPO_c01836,AEG69136.1,CP002819,1915346,1916953,0,protein,ripG5,Type III effector protein GALA5
Psi07,PRJNA50543,859657,RPSI07_1328,CBM10094.1,FP885906,1360229,1361149,0,protein,ripAJ,Type III effector protein RipAJ
Molk2,PRJNA180980,564065,RSMK_04961,CAQ18119.1,CAHW01000006,183370,185505,0,protein,ripH3,Type III effector protein HLK3
R24,PRJNA53879,907261,RALSY_mp30162,RALSY_mp30162,R24_FR854092,183103,183336,0,pseudogene,ripC1,Truncated Type III effector protein RipC1 (pseudogene)
Molk2,PRJNA180980,564065,RSMK_06233,NEW,CU695240,465134,466564,0,fragment,ripA3_fragment3,"Type III effector protein AWR3 (frameshift, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSc1356,CAD15058.1,AL646052,1443284,1445146,0,protein,ripG6,Type III effector protein GALA6
R24,PRJNA53879,907261,RALSY_mp30156,CCA86844.1,R24_FR854092,170666,180028,0,protein,ripS7,Type III effector protein SKWP7
IPO1609,PRJNA32087,564066,RSIPO_04270,YP_002257963.1,CU914166,1541500,1543632,0,protein,ripAR,Type III effector protein RipAR
IPO1609,PRJNA32087,564066,RSIPO_04127,YP_002257822.1,CU914166,1325726,1330912,0,protein,ripR,Type III effector protein RipR
Psi07,PRJNA50543,859657,RPSI07_mp0284,CBJ34636.1,FP885891,348211,350133,0,protein,ripD,Type III effector protein RipD
Molk2,PRJNA180980,564065,RSMK_05778,NEW,CU695242,286906,287094,0,fragment,ripBI_fragment1,"Type III effector protein RipBI (frameshift, N-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp1218,CAD18369.2,AL646053,1548694,1549191,0,pseudogene,ripAP_fragment1,Type 3 effector protein RipAP - pseudogene (N-terminal fragment)
BDBR229,PRJNA53877,741978,BDB_mp80081,BDB_mp80081,BDBR229_FR854084,95991,96503,0,fragment,ripA3_fragment2,"Type III effector AWR3 (frameshift, C-terminal part)"
R24,PRJNA53879,907261,RALSY_40781,CCA86555.1,R24_FR854089,765097,766698,0,protein,ripG5,Type III effector protein GALA5
IPO1609,PRJNA32087,564066,RSIPO_03901,YP_002257594.1,CU914166,1019266,1021542,0,fragment,ripA3_fragment1,"Type III effector protein AWR3 (frameshift, N-terminal fragment)"
Psi07,PRJNA50543,859657,RPSI07_mp0159,CBJ34517.1,FP885891,183586,185841,0,protein,ripH2_2,Type III effector protein HLK2_2
BDBR229,PRJNA53877,741978,BDB_mp60099,BDB_mp60099,BDBR229_FR854082,99800,100000,0,pseudogene,ripG4,"Type III effector protein GALA4 (truncated, pseudogene)"
