"#Species","accession","type","name","description"
"IPO1609","YP_002258045.1","protein","ripE2","Type III effector protein RipE2"
"Psi07","CBJ51381.2","protein","ripV1","Type III effector protein RipV1, SspH1 family"
"CFBP2957","CBJ53541.1","protein","ripG2","Type III effector protein GALA2"
"Molk2","CAQ36630.1","protein","ripAL","Type III effector protein RipAL"
"GMI1000","CAD15808.2","protein","ripAJ","Type III effector protein RipAJ"
"BDBR229","CCA80396.1","protein","ripY","Type III effector protein RipY, ankyrin repeats"
"BDBR229","CCA79855.1","protein","ripAR","Type III effector protein RipAR"
"CMR15","CBJ40472.1","protein","ripA3","Type III effector AWR3"
"CFBP2957","CBJ42830.1","protein","ripS4","Type III effector protein SKWP4"
"UW551","WP_003261971.1","protein","ripE2","Type III effector Protein RipE2"
"Psi07","CBJ34399.1","protein","ripG3","leucine-rich-repeat type III effector protein (GALA3)"
"CFBP2957","CBJ44350.1","protein","ripAE","Type III effector protein RipAE"
"Po82","AEG72006.1","protein","ripC1","Type III effector protein RipC1"
"CMR15","CBJ40811.1","protein","ripN","Type III effector RipN, NUDIX hydrolase domain"
"RS1000","BAH47285.1","protein","ripAN","type III effector protein (Rip43)"
"CMR15","CBJ38007.1","protein","ripG5","Type III effector protein GALA5"
"Molk2","CAQ36781.1","protein","ripAB","Type III effector protein RipAB (formerly PopB)"
"Molk2","CAQ37178.1","protein","ripAS","Type III effector protein RipAS"
"CMR15","CBJ36850.1","protein","ripW","Type III effector RipW [formerly PopW], Hairpin with pectate lyase domain"
"RS1000","BAH47288.1","protein","ripG1","type III effector protein GALA1 (Rip53)"
"CMR15","CBJ41046.1","protein","ripAS","Type III effector protein RipAS"
"RS1000","BAI67923.1","protein","ripAI","type III effector protein (Rip41)"
"Molk2","CAQ57182.1","protein","ripO1","Type III effector protein RipO1"
"Po82","AEG69136.1","protein","ripG5","Type III effector protein GALA5"
"Psi07","CBM10094.1","protein","ripAJ","Type III effector protein RipAJ"
"Molk2","CAQ18119.1","protein","ripH3","Type III effector protein HLK3"
"GMI1000","CAD15058.1","protein","ripG6","Type III effector protein GALA6"
